Student_ID,Name,Branch,Semester,Subject,Marks,Attendance
1001,Aarav,CSE,4,Python,81,93
1001,Aarav,CSE,4,DBMS,44,93
1001,Aarav,CSE,4,DSA,90,93
1002,Priya,AIML,4,Python,53,75
1002,Priya,AIML,4,DBMS,32,75
1002,Priya,AIML,4,DSA,51,75
1003,Rahul,CSE,4,Python,59,56
1003,Rahul,CSE,4,DBMS,67,56
1003,Rahul,CSE,4,DSA,31,56
1004,Sneha,AIML,4,Python,62,75
1004,Sneha,AIML,4,DBMS,87,75
1004,Sneha,AIML,4,DSA,51,75
1005,Karan,ECE,4,Python,78,79
1005,Karan,ECE,4,DBMS,88,79
1005,Karan,ECE,4,DSA,71,79
1006,Ananya,ECE,4,Python,89,82
1006,Ananya,ECE,4,DBMS,44,82
1006,Ananya,ECE,4,DSA,91,82
1007,Riya,CSE,4,Python,80,57
1007,Riya,CSE,4,DBMS,36,57
1007,Riya,CSE,4,DSA,50,57
1008,Mohit,AIML,4,Python,68,63
1008,Mohit,AIML,4,DBMS,47,63
1008,Mohit,AIML,4,DSA,33,63
